,n_guests,guest_number,count,probability_last_sim,mean_number_passes_sim,probability_last_theory,mean_number_passes_theory,mean_number_passes_pct_error,probability_last_pct_error
161,19,9,55816,0.055816,197.9485452200086,0.05555555555555548,197.66666666666663,-0.0014260297808195155,-0.004688000000001358
162,19,10,55714,0.055714,197.52956169005995,0.05555555555555548,197.66666666666669,0.0006936170823275134,-0.002852000000001409
163,19,11,55489,0.055489,195.44493503216853,0.05555555555555548,195.66666666666663,0.0011332110792066086,0.0011979999999988111
164,19,12,55903,0.055903,192.54614242527234,0.05555555555555548,191.66666666666669,-0.00458856917533379,-0.006254000000001314
165,19,13,55544,0.055544,185.36950885784242,0.0555555555555555,185.66666666666663,0.001600490891333295,0.00020799999999887575
166,19,14,55311,0.055311,176.8383323389561,0.0555555555555555,177.66666666666669,0.004662294527451705,0.004401999999999018
167,19,15,55112,0.055112,167.10750834663958,0.05555555555555548,167.66666666666669,0.0033349402784916826,0.007983999999998659
168,19,16,55222,0.055222,154.84446416283365,0.05555555555555548,155.66666666666669,0.005281814799783957,0.006003999999998677
169,19,17,55346,0.055346,141.89478914465363,0.05555555555555548,141.66666666666666,-0.0016102763152021637,0.0037719999999986653
170,19,18,55934,0.055934,125.9567883577073,0.05555555555555548,125.66666666666669,-0.0023086606714106672,-0.0068120000000013725
171,20,1,52720,0.05272,139.09814112291352,0.05263157894736835,139.0,-0.0007060512439820421,-0.001680000000001458
172,20,2,52447,0.052447,155.2651247926478,0.05263157894736835,156.0,0.004710738508667878,0.0035069999999985946
173,20,3,52355,0.052355,171.16877089103238,0.05263157894736835,171.0,-0.0009869642750430785,0.005254999999998677
174,20,4,52848,0.052848,184.1243188010899,0.05263157894736835,184.00000000000003,-0.0006756456580971903,-0.004112000000001448
175,20,5,52356,0.052356,194.42428756971503,0.05263157894736835,195.00000000000009,0.002952371437359269,0.005235999999998686
176,20,6,52519,0.052519,203.57455397094384,0.05263157894736835,204.0,0.0020855197502752665,0.0021389999999985587
177,20,7,52835,0.052835,211.690981357055,0.05263157894736835,211.0,-0.003274793161398115,-0.0038650000000013396
178,20,8,52785,0.052785,216.22021407596856,0.052631578947368335,216.0,-0.00101950961096553,-0.0029150000000015552
179,20,9,52687,0.052687,218.9765407026401,0.052631578947368335,219.00000000000009,0.00010712007926927392,-0.001053000000001525
180,20,10,52729,0.052729,219.17658214644692,0.052631578947368335,220.00000000000003,0.0037428084252414395,-0.0018510000000016014
181,20,11,52747,0.052747,218.81424535992568,0.052631578947368335,219.0,0.0008481947035356985,-0.002193000000001666
182,20,12,52957,0.052957,216.12062616840078,0.052631578947368335,216.00000000000009,-0.000558454483336579,-0.006183000000001604
183,20,13,52916,0.052916,210.66274850706782,0.05263157894736835,211.00000000000003,0.001598348307735642,-0.005404000000001297
184,20,14,52486,0.052486,203.97424074991426,0.05263157894736835,204.00000000000003,0.00012627083375382764,0.002765999999998714
185,20,15,52538,0.052538,194.53329018995774,0.05263157894736835,195.0,0.002393383641242308,0.001777999999998614
186,20,16,52442,0.052442,183.68231570115557,0.05263157894736835,184.00000000000009,0.0017265451024158773,0.003601999999998551
187,20,17,52388,0.052388,170.43605405818127,0.05263157894736835,171.0,0.0032979294843200613,0.004627999999998633
188,20,18,52335,0.052335,155.33960064966084,0.05263157894736835,156.0,0.004233329168840783,0.005634999999998613
189,20,19,52910,0.05291,139.21353241353242,0.05263157894736835,139.0,-0.0015362044139022313,-0.005290000000001349
